room,room_order,slot,talk,exists_in_slots
track-a,1,opening,opening,TRUE
track-a,1,a1-c,dummy,TRUE
track-a,1,a2-c,dummy,TRUE
track-a,1,a-break-1,break,TRUE
track-b,2,b-break-1,break,TRUE
track-a,1,a3-l,dummy,TRUE
track-b,2,b3-l,dummy,TRUE
track-a,1,a4-s,dummy,TRUE
track-b,2,b4-s,dummy,TRUE
track-a,1,a-lunch,lunch,TRUE
track-a,1,b-lunch,lunch,TRUE
track-a,1,a5-c,dummy,TRUE
track-a,1,a6-c,dummy,TRUE
track-a,1,a-break-2,break,TRUE
track-b,2,b-break-2,break,TRUE
track-a,1,a7-l,dummy,TRUE
track-b,2,b7-l,dummy,TRUE
track-a,1,a8-s,dummy,TRUE
track-b,2,b8-s,dummy,TRUE
track-a,1,a-break-3,break,TRUE
track-b,2,b-break-3,break,TRUE
track-a,1,a9-s,dummy,TRUE
track-b,2,b9-s,dummy,TRUE
track-a,1,a10-s,dummy,TRUE
track-b,2,b10-s,dummy,TRUE
track-a,1,a11-s,dummy,TRUE
track-b,2,b11-s,dummy,TRUE
track-a,1,a-break-4,break,TRUE
track-b,2,b-break-4,break,TRUE
track-a,1,a12-s,dummy,TRUE
track-b,2,b12-s,dummy,TRUE
track-a,1,a13-s,dummy,TRUE
track-b,2,b13-s,dummy,TRUE
track-a,1,a14-s,dummy,TRUE
track-b,2,b14-s,dummy,TRUE
track-a,1,a-break-5,break,TRUE
track-b,2,b-break-5,break,TRUE
track-a,1,lt1,dummy,TRUE
track-a,1,lt2,dummy,TRUE
track-a,1,lt3,dummy,TRUE
track-a,1,lt4,dummy,TRUE
track-a,1,lt5,dummy,TRUE
track-a,1,lt6,dummy,TRUE
track-a,1,lt7,dummy,TRUE
track-a,1,lt8,dummy,TRUE
track-a,1,closing,closing,TRUE
remo,3,after-party,after-party,TRUE
