key,title,id,format,raw_talkType,talkType,level,tags,speaker,partner,allroom,videoId,presentation,abstract,description
luccafort,Motto Go Forward Goを支える文化とコミュニティ 〜なぜ我々はコミュニティにコントリビュートするのか？〜,luccafort,conference,Challenge Session (20 minutes),challenge_session,Beginner,,luccafort,,false,,,"まず最初にこのLTは技術の話ではありません。
Goは素晴らしいプログラミング言語ですが、それは技術だけが素晴らしいことを意味しません。
それを支える開発者、そして暖かく迎えてくれるコミュニティの存在と文化が大きく影響していると考えます。
コロナ禍によってさまざまなコミュニティが栄枯盛衰しているいまだからこそ、Goが大事にする文化を継承してもらいたいと考えました。
Go Worldがより進化し、変化していくために技術だけではないGoのウェットな文化を紹介させていただきます。","まず最初にこのLTは技術の話ではありません。
Goは素晴らしいプログラミング言語です。ですがそれは技術的に優れているからだけではありません。
Goには素晴らしい技術と同じくらい素晴らしいコミュニティが日本全国にあります。
我々運営者はなぜ各コミュニティを作り、運営しているのでしょうか？
インターネットで繋がれる現代においてわざわざGo当地というローカルな制約を設けるのはなぜ？
本LTは１Go当地コミュニティ運営者がGoCon運営して感じたGoが大事にするウェットな文化とMotto Go Forwardを実現するため、Goに関わる全てのひとへ向けた技術以外の大切なことの紹介です。"
sivchari,database/sqlパッケージを理解する,sivchari,conference,Short Session (20 minutes),short_session,Intermediate,,sivchari,,false,,,"私たちはdatabase/sqlと好きなdatabaseのdriverをimportすることで、とても簡単にGoとdatabaseの通信をすることができるようになります。
とても便利ですが、なぜdatabaseのdriverはblank importをするだけでDBの種類を識別できているのでしょうか。
また、Goのdatabase/sqlはgoroutineで複数接続しても安全に処理することができますが、どのように制御しているのでしょうか。
このトークを聞くことにより、普段何気なく行っていたdatabase/sqlの仕組みを理解した上でアプリケーションを実装することができるようになります。","Goの標準パッケージの1つにdatabase/sqlというパッケージが存在します。
このパッケージはwebアプリケーションをGoで開発したことがある方なら、おそらく一度は触れたことがあるパッケージではないでしょうか。
GoとDBを用いた多くのサンプルコードを見ると、今回の主題であるdatabase/sqlと、接続対象のdatabase driverをimportしていると思います。
さらに注目すると、接続対象のdatabase driverはblank importをしているだけです。
今回のトークではこのdatabase/sqlを支える仕組みについて話します。

今回のトークでは簡易的なサンプルコードを交えながら進めていきます。そのため実際に書いたことがあるケースを想定しやすく、理解を進めやすくします。
前半では、database/sqlのソースコードを見ていくことで、どのようにしてGoのdatabase/sqlパッケージはDBとの接続を表現しているのかということと、なぜblank importをするだけで良いのかということを学ぶことができます。

そして、database/sqlは標準で内部にコネクションプールを保持しており、スレッドセーフ(goroutineセーフ)であると説明されています。
後半ではどのようにdatabase/sqlはコネクションプールを保持し、複数のgoroutineからのアクセスに対してスレッドセーフ(goroutineセーフ)を実現しているかについて説明します。"
riita10069,「自動コード生成ツール」を20分で作れるようになろう,riita10069,conference,Short Session (20 minutes),short_session,Beginner,,riita10069,,false,,,"皆さんは、普段からGo言語でコードを書いていると思います。
「いつも同じようなプログラムだから自動生成したいな」と感じることはありませんか？

例えば、
- 単にCRUDするだけのコード
- if err != nil 的なエラーハンドリング
- natsやKafkaからドメインイベントを取ってくるworker
- 副作用のないメソッドのユニットテスト

のようなものです。

スキーマ定義のみでCRUDするAPIを生成するジェネレータを作成したので、
コード生成をしたことない人向けに紹介したいと思います。

Keyword:
ast, roche, jeniffer, cobra, afero","## 背景

Goのコードを自動生成したい場面というのは非常に多く存在する。
実際に主要なOSSでも自動生成をするというのは、一般的になってきている。
馴染みのあるものであげれば、gomock, gqlgen, kubebuilder, go-swaggerなどが挙げられる。
実際に、これらのツールは非常に有用であり、今後もGo言語のコード生成というトピックは発展性があるトピックである。

一方で、Goのコードの自動生成を社内で取り組んでいるという会社は非常に一部に限られていると感じる。
実際は、大規模なものでなければ、コード生成はそこまで難しいことではなく、自社のオペレーションに最適化されたコードジェネレータを社内で開発する事例がこれから増えてくることに可能性を感じている。

## なぜコードを生成するのか

- 同じようなコードを何度も書くことによるエンジニアのフラストレーションの軽減
- 人為的なミスの削減

## Jenifferの紹介

まずは、Hello Worldを生成するコードをJenifferを使って書いてみる。

```go
package main

import (
    ""fmt""

    . ""github.com/dave/jennifer/jen""
)

func main() {
	f := NewFile(""main"")
	f.Func().Id(""main"").Params().Block(
		Qual(""fmt"", ""Println"").Call(Lit(""Hello, world"")),
	)
}
```
非常に簡単に書くことができることがわかる。
このツールを使うことで、直感的に普段コードを直接書くのと同じような体験でコードジェネレータを作成できる。

メソッドやstructなどより複雑なコードの生成方法についても説明する。

## コード生成のテスト手法の紹介

### Jenifferに対するユニットテストの紹介

Jenifferを使用する場合は、String型として生成されるコードを検証することができる。
いくつかの例を使って紹介する。

### 生成されたファイルをテストする

aferoは抽象ファイルシステムを使うためのライブラリである。
実際にコードを生成する箇所のユニットテストや全体を通したユニットテストには、
cupaloyと組み合わせて、抽象ファイルシステムに対するスナップショットテストを行うことを提案する。



## スキーマ駆動CRUDエンドポイント生成ツール rocheの紹介

rocheは、スキーマ駆動で三層アーキテクチャのコードを生成するGo製のCLIツールである。
実際のrocheの実装を参照し、コード生成をどのように行っているかを確認する。

## 参考文献

https://github.com/riita10069/roche
https://github.com/spf13/afero
https://github.com/bradleyjkemp/cupaloy
https://github.com/dave/jennifer
"
yoheimuta,ゼロから作る Protocol Buffer のパーサーとレキサー,yoheimuta,conference,Long Session (40 minutes),long_session,All,,yoheimuta,,false,,,インタプリタやコンパイラの基礎になる字句解析器（lexer）と構文解析器（parser）の実装はgoyaccなどのジェネレーターを使うか手書きするかの基本二択になります。goyaccに関する実践的な情報は多いですが学習カーブが伴います。私はProtocolBufferスキーマ定義ファイルのパーサーとレキサーをGoの標準パッケージだけで実装しました。ASTを標準出力するだけでなくVisitorパターンを導入すると使い勝手が増します。これらの知識は普段使う静的解析ツールのカスタマイズにも役立ちます。本セッションでは実際に動く最小構成の実装からはじめてGoでのプログラミング手法をご紹介します。,"Go 言語がチームでの開発に採用される理由の一つに型があることによる可読性や開発効率の向上があります。
一方で、型の表現力を補うために、Go 言語のエコシステムには、バイナリディストリビューションに含まれる vet コマンドや静的解析の自作を容易にする準標準ライブラリ golang.org/x/tools/go/analysis [1] があります。
また、大規模システムのトレンドに目を移すと、安定化や生産性を向上させるために、静的解析ツールを駆使した事例はあとを絶ちません。
GitHub では MySQL のパーティション対応をするために SQL linter を開発して Rails システムの安全な移行を実現しました[2]。国内では GREE が既存システムの AST からコードを自動生成する Rector というツールを使うことで、機能開発を止めない PHP フレームワーク移行を実現しました[3]。また DeNA の SWET チームはアーキテクチャを段階的に変更する場合に自作した Android Lint を使って、新規に追加されるコードに修正対象となる実装が含まれない仕組みを自動化しているという知見を共有しました[4]。

このように静的解析は一部のエンジニアだけが使うものではなくなっています。
しかしながら、静的解析を自分のプロダクト固有の問題に役立てるためには、その土台となる AST（抽象構文木）を理解して活用するスキルが求められます。
私は Go 言語を使って Protocol Buffer の文法規則[5]から AST を構築する作業を通じて、scanner/lexer/parser
 の役割分担とインタラクション、lexeme/token/ast などの関係性、print/walk/visitor というインターフェースで期待される動作を体系的・実践的に整理できました。この中には静的解析一般に通じる汎用的な知見が含まれるため、パーサー・レキサーを自作したい人だけでなく、静的解析の可能性に関心がある人や既存ツールを有効に活用したい人にも役立つはずです。goyacc などのパーサージェネレーターを使っていないので理解に必要な学習カーブは Go 言語が大半を負うため、この発表だけで収まります。

パーサーとレキサーの実装は goyacc などのジェネレーターを使う[6]か手書き[7]するかの基本二択になります。
手書きでの実装を決めたとしても正規表現を中心に据える[6][8]のか、Go 標準パッケージの text/scanner を lexer として使う[7]のか、lexer も自作する[8]のか選択肢は多く、私自身書いてある最中に何度も方針を転換して試行錯誤しました。結果的に、これに関しては正規表現、text/scanner の順に途中まで試行して最終的に自作しました。
また、これら Go言語で実装する既存の例はいずれもシンプルなものが多く、trial-and-error を伴うパースに不可欠なバックトラッキング処理[9]が欠けていたり、AST 利用者側の視点に立った Visitor パターン[10]の考察や参考実装がありません。

そこで本セッションでは、Protocol Buffer の Extended Backus-Naur Form (EBNF) で記述された文法規則のパーサーとレキサーの Go 言語実装を解説します。
その過程で、言語処理系のバックグラウンドがない私自身整理が必要だった用語や概念を合わせて紹介します。
コードを書いていてとても楽しかったのでそういう気持ちも伝えたいと思います。

- [1] Goで静的解析をはじめてみよう: https://gocon.jp/2021autumn/sessions/go-static-analysis/
- [2] Partitioning GitHub’s relational databases to handle scale: https://github.blog/2021-09-27-partitioning-githubs-relational-databases-scale/
- [3] コードの自動修正によって実現する、機能開発を止めないフレームワーク移行: https://techcon.gree.jp/2021/session/Session-2
- [4] 25分で作るAndroid Lint / Android Lint made in 25 minutes: https://speakerdeck.com/tkmnzm/android-lint-made-in-25-minutes?slide=9
- [5] Protocol Buffers Version 3 Language Specification: https://developers.google.com/protocol-buffers/docs/reference/proto3-spec
- [6] Goで軽量マークアップ言語のパーサーを書く / Writing a parser with Go: https://speakerdeck.com/aereal/writing-a-parser-with-go
- [7] Handwritten Parsers & Lexers in Go: https://blog.gopheracademy.com/advent-2014/parsers-lexers/
- [8] Lexical Scanning in Go: https://talks.golang.org/2011/lex.slide
- [9] Compilers: Principles, Techniques, and Tools, 2nd Edition: https://www.pearson.com/us/higher-education/program/Aho-Compilers-Principles-Techniques-and-Tools-2nd-Edition/PGM167067.html
- [10] Design Patterns: Elements of Reusable Object-Oriented Software: https://www.oreilly.com/library/view/design-patterns-elements/0201633612/"
kazuhisa_takei,lock free な doubly linked list を実装していたらいつのまにか concurrent skip list map を実装していたでござる,kazuhisa_takei,conference,Short Session (20 minutes),short_session,Advanced,,kazuhisa_takei,,false,,,"埋め込み型のlinux kernel のようなdoubly linked list を実装しだしたら、lock free にしたくなり、そのまま sync.Map に勝つべく, hash map を実装していたらしらないうちに ほぼskip list なhash map を実装するまでの顛末","# lock free な hash map  を実装するまでの顛末

1. container/list  がメモリを食いすぎるので、 linux kernel のLIST_HEADベースのdoubly linked list 実装をgolang でした
2. lock free な実装への変更時に　通常は delete 時のmarking の回収をtraverse 時に行わずに実装した
3. sync.Map のソースをみたら read/update/delete 用と add 用の dirty がmap で構成されていて、そのlock のため write heavy でのパフォーマンスが問題があったので (あったというかそもそもそういう想定。)dirty のmap を linked list base の実装で置き換えられないか試す。
4. key/value アイテムをすべてhash値をベースにした順序で linked list につないで　bucket もlinked list で実装して key/value アイテムへの参照する形にした。
5. sync.Map のdirty 部の置き換えとしてはそれなりのパフォーマンスがでたがやはり 探査が遅いので bucket 部のlist をkey のlevel によりショートカットを実装した
6. hash 関数よってkey がきれいに平坦化されるため実質敵な平衡なskip list 実装になった

 "
makki_d,型パラメータが使えるようになったのでLINQを実装してみた,makki_d,conference,Short Session (20 minutes),short_session,Intermediate,,makki_d,,false,,,"Go 1.18にて型パラメータ（ジェネリクス）が利用できるようになりました。（なったはずです、なりましたよね？）
この新しい機能を利用してLINQ（言語統合クエリ）を実装してみます。

LINQは.Net Framework 3.5で導入された、様々なコレクションに対する操作を標準的な方法で行うための言語機能です。
C#やVB.Net以外にも、LINQの影響を受けたライブラリが様々な言語で作成されています。

この発表では、Goでの型パラメータを使ったLINQの実装方法を紹介することで、型パラメータの実践的な使い方とその制限について紹介します。","## LINQとは

LINQ（言語統合クエリ）は、.Net Framework 3.5で導入された、様々な種類のコレクションに対する操作を標準的な方法でおこなうための言語機能です。
C#においては、コレクションを`IEnumerable<T>`のようなジェネリック型で抽象化し、それに対する操作（クエリ）をその拡張メソッドとして実装しています。

LINQでは様々なクエリが用意されていますが、データシーケンス（たとえば`IEnumerable<T>`）を返すようなクエリは遅延評価されます。
また多くのクエリは、要素を操作する関数を引数に取るような高階関数となっており、高度に抽象化されています。

## Goによる型パラメータを使った実装

GoでLINQを実装するには、型パラメータを使ってコレクションを抽象化し、そのコレクションを操作する型パラメータつきの関数を定義していきます。

### 具体的な実装の紹介

この発表ではsliceやmapなどをコレクションとして扱う方法と、WhereやSelect、ToSliceやAggregateといった様々なタイプのクエリの具体的な実装方法を紹介します。
そしてこれらがきちんと型付けされることや、遅延評価されることも解説します。

### 型パラメータによる実装の制限

この実装ではクエリをレシーバ関数ではない普通の関数として実装するため、C#のようなメソッドチェインとしての使い方はできません。
なぜレシーバ関数として実装できないのか、言語仕様とその根底にある設計思想を交えて解説します。

## 型パラメータ以前のGoによるLINQの実装

型パラメータ導入以前から、Goで使えるLINQはいくつか実装されていました。
ここでは今回紹介した型パラメータをつかった実装との比較を通して、型パラメータの利点をまとめます。

## まとめ

LINQの実装ような実践的な型パラメータの使い方を見ることで、みなさんがより効果的に型パラメータを使えるようになることを望みます。
"
rennnosuke_rk,Let's contribute to OSS with Go,rennnosuke_rk,conference,Challenge Session (20 minutes),challenge_session,Beginner,,rennnosuke_rk,,false,,,"I'll talk about what I noticed when I contributed to Go OSS for the first time, and 'Why' and 'Why Not' contribute to OSS (in English).

The target audience is as follows - 1-2 year Go experience. Who has no contribution to OSS. Who want to contribute to OSS.","I would like to talk about contribution to OSS, especially with Go.

- 'Why' and 'Why Not' I contributed to OSS
- What I noticed about contribution to OSS
- What I got through the contribution to OSS

About a month ago, I modified OSS repository with Go for the first time. I realized some important points about contributing. So, from this experience, I would like to talk about what I noticed when I contributed, especially when I modified the Go code."
jespinog,"Dissecting Slices, Maps and Channels in Go",jespinog,conference,Long Session (40 minutes),long_session,Intermediate,,jespinog,,false,,,"My talk is about how slices, maps and channels work in the Go runtime. The idea is to use unsafe to extract the memory state on runtime and analyze how that is changing over time when you operate with the slices, maps and channels. We will see how channel buffers or maps buckets work under the hood.","Slices, Maps and Channels in go, are first class citizens of the language, they are used widely in our day to day work, but... do you know how they works under the hood? Do you know the implications of adding elements to an slice, or new keys to a map? Do you know why you can't relay in maps order? Do you know how channels handle the buffer or the blocked goroutines? If you don't know about that, this is your talk. I going to access the go runtime memory state of the maps, slices and channels, and show you how they evolve over time while we change them."
uji_rb,GoのGC(garbage collector)について理解する,uji_rb,conference,Short Session (20 minutes),short_session,All,,uji_rb,,false,,,"GoのGCの仕組みや設計思想を解説します。
聴講者には、ランタイムの一機能であるGCについて触れてもらうことを通して、Goのランタイムの世界に興味をもってもらうことができます。","GoにはGC(garbage collector)が存在します。
このGCが内部でメモリ管理の複雑さを隠蔽してくれているおかげで、Goを書くエンジニアはメモリ管理をあまり意識せずコーディングすることができます。
GCは実際にどのように動いて私たちを助けてくれているのでしょうか？

# ゴール
- Go GCの概要を理解してもらう
- Goのランタイムの仕組み・設計思想に興味を持ってもらう

# 想定している内容

## introduction 
自己紹介やセッションの説明等

## GCについて
GCの目的、責務について説明

## GoにおけるGCについて
- Goが採用しているGCアルゴリズムの解説
- Go GCの仕組みから学ぶ設計思想解説
- 他言語とのアプローチ比較"
glassmonekey,Python製の姓名分割ライブラリをGoに移植した話,glassmonekey,conference,Lightning Talk (5 minutes),lt_session,All,,glassmonekey,,false,,,"一般的にわかち書きでは無い日本語で姓名から「姓＋名」の分割を行うことは困難です。
しかし、Python製の姓名分割ライブラリ(https://github.com/rskmoi/namedivider-python)を用いるとある程度精度良く分割は可能です。
そこでシングルバイナリで扱えるGoのメリットを活かして、Python製の姓名分割ライブラリをGoに移植した話をします。
その際移植で工夫した点や気をつけた点をお話します。","一般的にわかち書きでは無い日本語で姓名から「姓＋名」の分割を行うことは非常に困難です。
そこで、Python製の[namedivider-python](https://github.com/rskmoi/namedivider-python)を用いると精度良く分割可能です。精度の詳細に関しては[製作者様のブログ](https://rskmoi.hatenablog.com/entry/2017/01/23/224420)を参照となります。

しかし、Python製なので実行時の環境に左右される点などの、シングルバイナリで無いが故のポータビリティに課題があります。APIとして利用する方法もありますが速度などの観点から直接ローカルで動かしたくなるケースもあるでしょう。

そこで、シングルバイナリで扱えるGoのメリットを活かしてGoに移植した話をします。
その際移植で工夫した点や気をつけた点などをお話します。"
